"id"	"geneNum"	"description"	"definition"	"gene"
"GO:0005739"	377	"mitochondrion"	"A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."	"A0A5F4BQH8,A0A5F4BR03,A0A5F4C509,A0A5F4C674,A0A5F4C9Z8,A0A5F4CF41,A0A5F4CMS6,A0A5F4CQB2,A0A5F4CQL2,A0A5F4CTZ2,A0A5F4CV95,A0A5F4CYX6,A0A5F4D5K7,AASS,ABAT,ABCE1,ABCG1,ACACB,ACAD8,ACADS,ACADSB,ACO1,ACO2,ACOT13,ACOX3,ACOXL,ACP6,ACSF3,ACSL1,ACSL4,ADAM28,ADSS2,AGPAT5,AGTPBP1,AGXT2,AKAP1,AKT1,ALDH1B1,ALDH1L2,ALDH4A1,ALDH5A1,ALDH7A1,ALKBH1,ALKBH3,AMMECR1,ANKRD37,ANXA6,APEX1,APEX2,ARG2,ARID4B,ASAH2,ASS1,ATG4D,ATP2A1,ATP5IF1,ATP5J2,ATPAF2,AZIN2,BAG5,BBC3,BCAP31,BCAT2,BDH1,BDNF,BLOC1S2,BOLA1,BPHL,BRAF,BRD8,C7H1orf43,CAPN1,CAPN10,CAPRIN2,CARKD,CASP14,CAVIN1,CCM2,CCN6,CCR7,CERT1,CISD3,CKB,CKMT1A,CLU,COA6,COQ8A,COQ9,CPNE3,CRAT,CREB3L4,CRY1,CRY2,CRYM,CYP1B1,CYP24A1,CYRIB,DARS2,DCAF8,DCPS,DCTPP1,DDAH2,DDIT4,DDX1,DECR1,DEGS1,DGAT2,DHRS2,DHTKD1,DISC1,DLD,DLGAP5,DND1,DNM1L,DOK7,EARS2,ECI2,ELK3,ENY2,ERBB4,ERN1,ETFRF1,EYA2,FAHD1,FAM110B,FANCG,FASTKD1,FASTKD3,FBXO7,FBXW7,FDX1,FEM1A,FEN1,FKBP4,FMC1,FOXK2,G0S2,GABARAPL1,GADD45GIP1,GCDH,GCLC,GIT1,GJA1,GLDC,GLRX2,GLS,GLUL,GLYATL3,GPAA1,GPAT2,GPN1,GPS2,GSK3A,GTF3C4,HADH,HAUS3,HEATR1,HEBP2,HIP1R,HIVEP1,HJURP,HS1BP3,HSH2D,HSPA4,HSPA5,HSPA9,HSPD1,HTRA2,IDH2,IDH3A,IFIT3,ILF3,ISCA2,IVD,JARID2,JTB,KANK2,KIFBP,KLC2,KYNU,LACTB,LDHD,LGALS12,LIAS,LOC100685351,LOC100685574,LOC100856533,LOC102155476,LRRC10,LRRK1,MACC1,MAFF,MAPK1,MAPK9,MCL1,MCUR1,METAP1D,METTL17,MIGA2,MMAA,MMADHC,MOBP,MRM3,MRPL1,MRPL37,MRPL42,MRPS18A,MRPS23,MRPS36,MSRB2,MTFR1,MTIF2,MYG1,MYL10,NACC2,NADK2,NAIF1,NAPG,NAXD,NAXE,NCBP1,NDFIP2,NDUFAF2,NDUFAF8,NEXN,NFKB1,NGDN,NLRP5,NME6,NMNAT3,NNT,NOC3L,NOCT,NOL3,NOL6,NOS1,NR3C1,NR4A1,NRDC,NSUN2,NTHL1,NUBPL,OGDH,OGG1,OXCT1,OXSM,P4HA1,PACS2,PAK5,PC,PCF11,PDHA1,PDPN,PDZD8,PERP,PET100,PET117,PEX11B,PEX5,PFDN2,PGAM5,PGS1,PIF1,PLSCR3,PNKD,PNPLA4,POLR1G,PPARGC1B,PPM1K,PPP1CC,PPP1R15A,PPP3CA,PRICKLE3,PRKACA,PRKCD,PRKCE,PRKN,PSEN1,PSMB4,PTGES2,PUS1,PYCARD,PYCR1,RAB11FIP3,RAB29,RACK1,RAD51,RAD51C,RALA,RALBP1,RANBP2,RIPK1,RMND1,RPS6KA6,RPS6KB1,RPUSD3,RPUSD4,RRM2B,RSAD1,S1PR4,SACS,SARDH,SCP2,SERAC1,SESN2,SFXN4,SIAH3,SIRT2,SIRT5,SLC11A2,SLC25A20,SLC25A29,SLC25A32,SLC25A36,SLC25A42,SLC25A44,SLC25A51,SLC35F6,SLC44A1,SLC44A2,SLC8B1,SLIRP,SMURF1,SNAP23,SNCA,SOX4,SPATA7,STAP1,STARD3,STK11,STOM,STPG1,STX17,SUCLA2,SUGCT,TDRKH,TEX10,TFAP2C,TFAP4,TGM2,THG1L,TICAM1,TMEM102,TMEM126B,TMEM135,TMEM143,TNRC18,TOMM70,TOP3A,TP53,TRIM39,TRIT1,TRMT10B,TRMU,TRNT1,TRUB2,TUFM,TXN2,UBA1,UNG,UQCR11,USP48,VASN,VPS35,VWA8,WDR81,WDR90,WWOX,XPC,XPNPEP3,XRCC3,ZBTB6,ZDHHC8,ZFYVE1,ZMIZ2,ZNF205,ZNF217"
"GO:0005740"	1	"mitochondrial envelope"	"The double lipid bilayer enclosing the mitochondrion and separating its contents from the cell cytoplasm; includes the intermembrane space."	"CIDEA"
"GO:0005741"	69	"mitochondrial outer membrane"	"The outer, i.e. cytoplasm-facing, lipid bilayer of the mitochondrial envelope."	"A0A5F4BQF8,A0A5F4BSW0,A0A5F4BV43,A0A5F4C0I1,A0A5F4C8U8,A0A5F4CG77,AIFM2,ARMC1,ARMCX1,ATF2,BAD,BAX,BCL2,BID,C5H11orf65,CNR1,CPT1A,CPT1B,CYB5R3,DAO,DNM1L,EXD2,FAM210B,FIS1,FOXO3,GCK,GK,GPAM,HAX1,HK1,HK2,HK3,HKDC1,LOC100855486,MAOA,MAOB,MARCHF5,MAVS,MFF,MSTO1,MYO19,MYOC,NIPSNAP2,OPA1,PDE2A,PGRMC1,PHB2,PLD6,PPP1CC,QTRT1,QTRT2,RAB32,RMDN3,RSAD2,RTN4IP1,SH3GLB1,SLC25A46,SLC8A3,SNN,STING1,STMP1,TIGAR,TOMM22,USP30,VDAC1,VDAC3,VPS13A,VPS13C,WASF1"
"GO:0005742"	5	"mitochondrial outer membrane translocase complex"	"A large complex of the mitochondrial outer membrane that mediates transport of proteins into all mitochondrial compartments."	"A0A5F4CWL1,A0A5F4DBX1,TOMM5,TOMM6,TOMM7"
"GO:0005743"	136	"mitochondrial inner membrane"	"The inner, i.e. lumen-facing, lipid bilayer of the mitochondrial envelope. It is highly folded to form cristae."	"A0A5F4BQA0,A0A5F4BQG8,A0A5F4BQL9,A0A5F4BSV1,A0A5F4BX01,A0A5F4BXN2,A0A5F4BZE1,A0A5F4C074,A0A5F4C3K6,A0A5F4C6F1,A0A5F4C6P5,A0A5F4CAJ3,A0A5F4CBA2,A0A5F4CCW6,A0A5F4CFC7,A0A5F4CJW6,A0A5F4CT83,A0A5F4CUF9,A0A5F4CVQ1,A0A5F4CWD2,A0A5F4CZR1,A0A5F4D1J7,A0A5F4D3R2,A0A5F4D5X5,A0A5F4D829,A0A5F4D8V8,A0A5F4D8X7,A0A5F4DE60,ABCB10,AIFM3,ALAS2,ATP5J2,ATP5PO,C15H12orf73,CIBAR1,CLU,COA8,COX20,COX5A,COX5B,COX6A1,COX6A2,COX7A1,COX8A,COX8B,CYP1A1,CYP2E1,DHODH,DMAC2L,DNAJC30,E2R3G9,ERAL1,F1PHE2,F1PKU9,FECH,GATM,GUF1,HCCS,IMMP1L,J9P0E1,J9P0Q7,J9P2C7,J9P9X2,LETM1,LETM2,LETMD1,LGALS3,LOC102155410,LOC106558390,LOC490131,LRRK2,MPC1,MRS2,MT-CO2,MT-CO3,MT-CYB,MT-ND1,MT-ND2,MT-ND3,MT-ND4,MT-ND4L,MT-ND5,MT-ND6,MTFP1,MTG1,MTG2,MYOC,NDUFA1,NDUFA5,NDUFA7,NDUFAF6,NDUFS2,NDUFS3,NDUFV2,OMA1,PDE2A,PHB,PINK1,PMPCA,RCC1L,RDH13,ROMO1,RPS3,RSAD2,SDHA,SDHB,SDHD,SIRT4,SLC25A12,SLC25A13,SLC25A14,SLC25A16,SLC25A23,SLC25A24,SLC25A25,SLC25A37,SLC25A38,SLC25A4,SLC25A5,SLC25A6,SPHK2,SRC,STOML2,SURF1,TAMM41,TIMM8A,TIMM9,TMEM65,TOMM40,TRAP1,UCP1,UCP2,UCP3,UQCC1,UQCC2,YME1L1"
"GO:0005744"	1	"TIM23 mitochondrial import inner membrane translocase complex"	"The protein transport machinery of the mitochondrial inner membrane that typically transports proteins that possess a matrix-targeting N-terminal presequence. The TIM23 complex contains three essential Tim proteins: Tim17 and Tim23 are thought to build a preprotein translocation channel while Tim44 interacts transiently with the matrix heat-shock protein Hsp70 to form an ATP-driven import motor."	"A0A5F4CXX4"
"GO:0005745"	2	"m-AAA complex"	"Protease complex of the mitochondrial inner membrane that is involved in mitochondrial protein turnover and in processing of proteins imported into mitochondria."	"AFG3L2,SPG7"
"GO:0005746"	11	"mitochondrial respiratory chain"	"The protein complexes that form the mitochondrial electron transport system (the respiratory chain), associated with the inner mitochondrial membrane. The respiratory chain complexes transfer electrons from an electron donor to an electron acceptor and are associated with a proton pump to create a transmembrane electrochemical gradient."	"A0A5F4BQ44,A0A5F4BVC1,A0A5F4CHB4,A0A5F4DGJ5,A0A5F4DIN4,COX7A1,COX7A2,COX7B2,F1PNY3,LOC100684983,RAB5IF"
"GO:0005747"	22	"mitochondrial respiratory chain complex I"	"A protein complex located in the mitochondrial inner membrane that forms part of the mitochondrial respiratory chain. It contains about 25 different polypeptide subunits, including NADH dehydrogenase (ubiquinone), flavin mononucleotide and several different iron-sulfur clusters containing non-heme iron. The iron undergoes oxidation-reduction between Fe(II) and Fe(III), and catalyzes proton translocation linked to the oxidation of NADH by ubiquinone."	"A0A5F4BYE6,A0A5F4C1V5,A0A5F4D609,A0A5F4D664,A0A5F4DJH0,DMAC1,DMAC2,FOXRED1,MT-ND2,MT-ND3,MT-ND4,NDUFA10,NDUFA9,NDUFB11,NDUFB8,NDUFB9,NDUFC1,NDUFS1,NDUFS4,NDUFS5,NDUFV2,NDUFV3"
"GO:0005750"	4	"mitochondrial respiratory chain complex III"	"A protein complex located in the mitochondrial inner membrane that forms part of the mitochondrial respiratory chain. Contains about 10 polypeptide subunits including four redox centers: cytochrome b/b6, cytochrome c1 and an 2Fe-2S cluster. Catalyzes the oxidation of ubiquinol by oxidized cytochrome c1."	"MT-CO1,UQCC3,UQCR10,UQCRC2"
"GO:0005751"	5	"mitochondrial respiratory chain complex IV"	"A protein complex located in the mitochondrial inner membrane that forms part of the mitochondrial respiratory chain. Contains the 13 polypeptide subunits of cytochrome c oxidase, including cytochrome a and cytochrome a3. Catalyzes the oxidation of reduced cytochrome c by dioxygen (O2)."	"A0A5F4D517,COX6A2,GATC,UQCRC2,UQCRFS1"
"GO:0005753"	6	"mitochondrial proton-transporting ATP synthase complex"	"A proton-transporting ATP synthase complex found in the mitochondrial membrane."	"A0A5F4DAY9,ATP5F1B,ATP5F1D,ATP5MD,MT-ATP6,MT-ATP8"
"GO:0005757"	4	"mitochondrial permeability transition pore complex"	"A protein complex that connects the inner and outer membranes of animal mitochondria and acts as a pore that can open transiently to allow free diffusion of solutes between the mitochondrial matrix and the cytosol. The pore complex is formed of the voltage-dependent anion channel (VDAC), the adenine nucleotide translocase (ANT) and cyclophilin-D (CyP-D)."	"BAX,SLC25A4,SLC25A5,SPG7"
"GO:0005758"	37	"mitochondrial intermembrane space"	"The region between the inner and outer lipid bilayers of the mitochondrial envelope."	"A0A5F4C021,A0A5F4D0V5,A0A5F4D884,A0A5F4DE60,AGK,AIFM1,AK2,BLOC1S1,CDC25C,CHCHD10,CHCHD2,CIAPIN1,CLPB,COA4,COX19,FBXL4,FKBP10,HAX1,IMMT,MICU1,MICU2,MYOC,NBR1,NDUFA8,NDUFB7,NDUFS1,OPA1,PINK1,PNPT1,PRELID2,SIRT5,STMP1,STOML2,TIMM29,TIMM8A,TIMM8B,UQCC2"
"GO:0005759"	72	"mitochondrial matrix"	"The gel-like material, with considerable fine structure, that lies in the matrix space, or lumen, of a mitochondrion. It contains the enzymes of the tricarboxylic acid cycle and, in some organisms, the enzymes concerned with fatty acid oxidation."	"ACADL,ACADM,ACSS1,ACSS3,ALAS1,ALAS2,ALKBH7,BCKDK,BCL2L1,C1QBP,CASQ1,CBR4,CCAR2,CDK1,CLPP,COASY,COQ5,CS,DLD,DLST,ETFA,ETFB,ETFBKMT,FARS2,GRPEL1,GUF1,HSD17B8,HSPD1,J9P228,LACTB2,LOC478801,LRRK2,LYRM7,MAIP1,MARS2,MCCC1,MCCC2,METTL4,MMUT,MTRES1,NDUFA10,NDUFA9,NFS1,NUDT1,OAT,OGDHL,PCCA,PCCB,PDE12,PDHA1,PDHX,PDK3,PDK4,PMPCA,PPTC7,PYROXD2,RAD51,RPS3,SDHAF2,SIRT3,SIRT4,SIRT5,SOD2,TBRG4,THEM5,TIMM44,TP53,TP63,TP73,TRAP1,TRMT5,WARS2"
"GO:0005760"	3	"gamma DNA polymerase complex"	"A DNA polymerase complex consisting of a large subunit, responsible for the catalytic activities, and a small accessory subunit. Functions in the replication and repair of mitochondrial DNA."	"DNA2,POLG,POLG2"
"GO:0005761"	4	"mitochondrial ribosome"	"A ribosome found in the mitochondrion of a eukaryotic cell; contains a characteristic set of proteins distinct from those of cytosolic ribosomes."	"A0A5F4CCR9,CHCHD1,MTG1,MTG2"
"GO:0005762"	17	"mitochondrial large ribosomal subunit"	"The larger of the two subunits of a mitochondrial ribosome. Two sites on the ribosomal large subunit are involved in translation: the aminoacyl site (A site) and peptidyl site (P site)."	"A0A5F4CC26,MALSU1,MRPL10,MRPL18,MRPL20,MRPL24,MRPL28,MRPL3,MRPL35,MRPL38,MRPL39,MRPL4,MRPL40,MRPL44,MRPL53,MRPL55,MRPL57"
"GO:0005763"	11	"mitochondrial small ribosomal subunit"	"The smaller of the two subunits of a mitochondrial ribosome."	"A0A5F4CV19,GUCA1B,MRPS11,MRPS12,MRPS15,MRPS18B,MRPS18C,MRPS21,MRPS27,MRPS31,MRPS6"
"GO:0005764"	113	"lysosome"	"A small lytic vacuole that has cell cycle-independent morphology and is found in most animal cells and that contains a variety of hydrolases, most of which have their maximal activities in the pH range 5-6. The contained enzymes display latency if properly isolated. About 40 different lysosomal hydrolases are known and lysosomes have a great variety of morphologies and functions."	"A0A5F4CGT2,A0A5F4DC37,ABCA5,ACE,ACP5,ADA,ANKRD27,ARSG,ASAH1,ATP6AP2,BACE1,BCL10,C10H12orf66,C11H9orf72,CALCRL,CAPN1,CAPN2,CCDC115,CD34,CD74,CHID1,CHMP2B,CLN3,CLN5,CLTC,CPQ,CTSB,CTSC,CTSD,CTSH,CTSK,CTSL,CTSS,CTSZ,CXCR4,DLA-DQA1,DTX3L,ELAPOR1,EPG5,GABARAP,GALNS,GGA3,GLA,GLB1,GNS,GPC3,GRIN2B,GUSB,HEXA,HGS,HPSE,HYAL1,HYAL2,HYAL3,IDS,IDUA,IL1B,ITM2C,KCNQ1,KLHL22,LAMTOR5,LARS1,LDLR,LGMN,MFSD1,MFSD12,MFSD8,MT1,NAGA,NAPSA,NBR1,NCSTN,NPC2,PCYOX1,PIP4K2A,PLA2G15,PLBD2,PRCP,RAB12,RAB27A,RAB7B,RAMP3,RB1CC1,RPS6KC1,RPTOR,RUBCN,SCARB1,SGSH,SIAE,SLC11A1,SNX1,SNX14,SNX2,SORT1,SRC,SYT11,TCIRG1,TLR7,TLR9,TMEM199,TMEM25,TMEM59,TMEM97,TPP1,TRIP10,TSC2,UNC13D,UVRAG,VMA21,VPS18,VPS26A,VPS35,WDR45B"
"GO:0005765"	81	"lysosomal membrane"	"The lipid bilayer surrounding the lysosome and separating its contents from the cell cytoplasm."	"ABCB9,ABCD1,ABCD4,ABHD6,ANXA6,AP5M1,AS3MT,ATRAID,BLOC1S1,BORCS8,BRI3,CCZ1,CD63,CD68,CLCN3,CLCN4,CLN3,CLN5,CTNS,CUBN,DLA-DMA,DLA-DRA,FLCN,FNIP1,FNIP2,GBA,GLMP,GPR137,GPR143,GRN,ITFG2,J9NTN5,KXD1,LAMP2,LAMP3,LAMTOR1,LAMTOR2,LITAFD,LOC607830,MEAK7,MFSD12,MIOS,MTOR,MYO7A,NPRL2,NPRL3,OCA2,OCLN,PIP4P2,PLA2G4E,PLD3,PLEKHM2,RAB12,SCARB2,SEC13,SIDT2,SLC26A11,SLC29A3,SLC2A6,SLC35F6,SLC39A8,SPAG9,SPPL2A,SZT2,TFEB,TM4SF5,TMEM192,TMEM63A,TMEM9,TMEM9B,TPCN2,UBA1,UBXN6,VPS11,VPS13A,VPS16,VPS33A,VPS33B,WDR24,WDR59,WDR81"
"GO:0005768"	84	"endosome"	"A vacuole to which materials ingested by endocytosis are delivered."	"A0A5F4BTP7,ABCA1,ABCB11,Abcb11e,ACE,ACKR3,ANXA1,ANXA2,ARPC2,ASTN2,ATP6V0A4,ATP6V0B,AVPR1A,AVPR2,BDKRB2,BIRC6,BLOC1S6,CALCRL,CAV1,CBLIF,CCP110,CCR5,CDH1,CDKN1B,CLTC,CUBN,DGKH,DGKQ,DHRS13,ECE1,EXPH5,EZR,FKBP15,FYN,GIGYF2,GP2,GPR15,GRB2,HMGB1,HTR4,ITGB3,ITGB6,ITGB8,KCNK1,KDR,LEPROT,LPAR1,LRP2,M6PR,MYO1B,MYO1C,MYO1D,MYO1E,NPC1,PKN1,PRKCI,PRKCZ,RAB10,RAB11FIP1,RAB11FIP2,RAB11FIP5,RAB3A,RAB4A,RHOA,RNF112,RNF32,RUFY1,SLC26A7,SLC2A4,SNX11,SPAST,STING1,STX4,SYT3,SYTL4,TGFBR1,THSD1,TLR7,TLR9,TMEM106B,TNFAIP1,TRIM27,UNC93B1,WDR72"
"GO:0005769"	116	"early endosome"	"A membrane-bounded organelle that receives incoming material from primary endocytic vesicles that have been generated by clathrin-dependent and clathrin-independent endocytosis; vesicles fuse with the early endosome to deliver cargo for sorting into recycling or degradation pathways."	"ACKR2,ACKR3,ADRB1,ADRB2,ALS2,ANGPTL3,ANKFY1,ANKRD13B,AP4M1,APP,BACE1,CFTR,CHMP1A,CLN3,CLN6,CNTNAP2,COMMD1,CORO1A,CXCR4,DERL2,DNER,DTX3L,DYSF,EEA1,ENTR1,EPHA3,ERBB2,F2R,F2RL1,FGD2,FLOT1,FZD5,GPER1,GPR107,HAP1,HAVCR1,HFE,HTT,HYAL3,IGF2R,INPP5F,ITCH,KCNQ1,KIAA0319,LAPTM4B,LDLR,LMTK2,LRP1,LRP6,MGRN1,MME,MVB12B,MYO1B,MYO1D,NF2,NIPA1,NIPA2,NOX1,NTRK1,NTRK2,NUMB,PACSIN2,PICALM,PPP1R21,PTPN1,PTPN23,RAB1A,RAB22A,RAB29,RAB31,RAB32,RAB5A,RABEP1,RABEP2,RHOB,RIN3,RPS6KC1,SLC35D3,SLC5A1,SLC9A6,SNX17,SNX27,SORT1,STEAP2,STX6,STX7,STX8,TBC1D16,TF,TFRC,TGFBRAP1,TM9SF4,TMEM230,TOM1,TRAK1,TRAK2,TSG101,UHRF1BP1L,USP8,UVRAG,VCAM1,VIPAS39,VPS11,VPS16,VPS18,VPS26A,VPS26B,VPS28,VPS35,VPS41,VPS8,WASF2,WASHC5,WDFY1,WDFY2,WLS"
"GO:0005770"	67	"late endosome"	"A prelysosomal endocytic organelle differentiated from early endosomes by lower lumenal pH and different protein composition. Late endosomes are more spherical than early endosomes and are mostly juxtanuclear, being concentrated near the microtubule organizing center."	"ABCA3,ABCA5,ANKRD13A,ANKRD13B,ANKRD13D,ATP7A,ATP7B,CHID1,CLN3,CLTCL1,CTNS,CTSS,CXCR4,DDIT3,DERL2,DYSF,ELAPOR1,EXOC8,F2R,GNPNAT1,GRIN2B,GRN,HSPA8,HTT,KCNQ1,LDLR,LGMN,MFSD12,MICALL1,MTM1,NBR1,NMNAT2,NSG1,NTRK1,OSBPL1A,PIK3C3,PSAP,RAB22A,RAB27A,RAB7A,RAB7B,RAPGEF2,RHOB,RILP,SDF4,SLA2,SLC11A1,SLC30A3,SLC30A4,SLC31A1,SLC31A2,SLC9A6,SNX14,SRC,STX7,STX8,TCIRG1,TF,TMEM192,TMEM25,TMEM59,TSG101,UVRAG,VIPAS39,VPS18,VPS26B,WDR48"
"GO:0005771"	8	"multivesicular body"	"A type of endosome in which regions of the limiting endosomal membrane invaginate to form internal vesicles; membrane proteins that enter the internal vesicles are sequestered from the cytoplasm."	"ATP13A2,BACE1,CD63,CD74,CST7,LAMP1,RAB11A,ZP2"
"GO:0005773"	4	"vacuole"	"A closed structure, found only in eukaryotic cells, that is completely surrounded by unit membrane and contains liquid material. Cells contain one or several vacuoles, that may have different functions from each other. Vacuoles have a diverse array of functions. They can act as a storage organelle for nutrients or waste products, as a degradative compartment, as a cost-effective way of increasing cell size, and as a homeostatic regulator controlling both turgor pressure and pH of the cytosol."	"MST1,MST1R,RAB29,TMEM208"
"GO:0005774"	4	"vacuolar membrane"	"The lipid bilayer surrounding the vacuole and separating its contents from the cytoplasm of the cell."	"MTMR2,SLC16A13,SLC9A4,TMEM138"
"GO:0005775"	1	"vacuolar lumen"	"The volume enclosed within the vacuolar membrane."	"CLN5"
"GO:0005776"	27	"autophagosome"	"A double-membrane-bounded compartment that engulfs endogenous cellular material as well as invading microorganisms to target them to the lytic vacuole/lysosome for degradation as part of macroautophagy."	"ATG5,ATP13A2,AUP1,BECN1,HAP1,HTT,MAPK15,NBR1,OPTN,OSBPL7,PIP4K2A,PIP4K2B,PIP4K2C,RAB12,RAB23,RUFY4,SNAP29,TBC1D25,TBC1D5,TICAM1,TMEM230,UBQLN4,VPS11,VPS33A,VTI1A,WDFY3,WIPI2"
"GO:0005777"	31	"peroxisome"	"A small organelle enclosed by a single membrane, and found in most eukaryotic cells. Contains peroxidases and other enzymes involved in a variety of metabolic processes including free radical detoxification, lipid catabolism and biosynthesis, and hydrogen peroxide metabolism."	"A0A5F4C6V8,ABCD4,ACAA1,ACOXL,AGPS,CRAT,CROT,DEPP1,DNM1L,ECI2,HAO2,HMGCL,HSD17B4,HSDL2,IDH2,MFF,MUL1,NOS2,NUDT7,PHYH,PLAAT3,PMVK,RIDA,SCP2,STING1,SZT2,TMEM135,TRIM37,UOX,XDH,ZADH2"
"GO:0005778"	13	"peroxisomal membrane"	"The lipid bilayer surrounding a peroxisome."	"ABCD3,ACBD5,ACOX1,CAT,DAO,HMGCR,MAVS,PEX14,PJVK,PNPLA8,PXMP2,RAB8B,TMEM35A"
"GO:0005779"	8	"integral component of peroxisomal membrane"	"The component of the peroxisomal membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."	"ABCD1,FAR1,FAR2,PEX11A,PEX11B,PEX11G,PEX16,PEX26"
"GO:0005782"	2	"peroxisomal matrix"	"The volume contained within the membranes of a peroxisome; in many cells the matrix contains a crystalloid core largely composed of urate oxidase."	"A0A5F4C231,ABCD3"
"GO:0005783"	379	"endoplasmic reticulum"	"The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."	"A0A5F4CSB6,A0A5F4CVP4,A0A5F4DAG5,ABCA4,ABCC12,ACER1,ACSBG1,ACSL1,ADAMTS9,ADPGK,AGA,AGMO,AIFM3,ALDH3A1,ALG2,ALKBH1,ANGEL1,ANKRD13C,ANO7,ANP32A,APBB1,APH1A,APOE,AQP11,ARCN1,ARHGAP5,ARSG,ARSI,ATP10A,ATP10B,ATP10D,ATP11A,ATP8B1,B3GALNT2,BACE1,BACE2,BAK1,BCHE,BCL2L1,BFAR,BIN1,BRSK2,C1H19orf12,C7H18orf32,CALCRL,CANX,CASQ1,CATSPER3,CAV1,CAVIN1,CCDC3,CCDC88A,CCR10,CD3E,CD74,CDS1,CEMIP,CERT1,CGRRF1,CHI3L1,CIB1,CLN3,CLN5,CLN6,CLN8,CNBP,CNR2,COL1A2,COL26A1,COL4A3,CPEB4,CPED1,CPQ,CRABP2,CREB3,CREB3L1,CREG2,CRELD2,CRTAP,CTSZ,CYB5R3,CYB5R4,CYP11A1,CYP17A1,CYP1B1,CYP21A2,CYP24A1,CYP26A1,CYP26B1,CYP27A1,CYP27B1,CYP2A13,CYP2A7,CYP2B6,CYP2C18,CYP2F1,CYP2J2,CYP2R1,CYP2S1,CYP2U1,CYP3A4,CYP4A11,CYP4B1,CYP4X1,CYP51A1,CYP7A1,CYP7B1,DBH,DBI,DDX41,DHCR24,DHRS1,DIAPH2,DLG1,DLG4,DNAJB9,DNAJC1,DNASE1L1,DNASE1L3,DNM1L,DUOX1,E2QWC5,EEF1B2,EHD4,EMID1,EPHB1,ESYT1,F11,FAIM2,FAM172A,FBXW7,FGB,FGFR3,FGFR4,FIBIN,FKBP10,FKBP7,FKBP9,FKTN,FLT3,FNDC4,FNDC5,FOS,FURIN,FUT10,G6PC3,GASK1A,GBA,GHDC,GIGYF2,GJA1,GLUL,GOLT1B,GPAT4,GPC2,GPER1,GPR37,GPR85,GRIK5,GRIN2A,GRINA,GRN,HACD1,HACE1,HMGCLL1,HMOX1,HS1BP3,HSPA13,HTT,HYAL3,IFIT2,IKBIP,INPP5K,ITGA5,ITGA8,KCNG3,KCNMA1,KCNQ1,KDR,KEAP1,KIFAP3,LAMA3,LARS1,LEMD2,LOC100683063,LOC100855682,LOC106560171,LOC484492,LOC489851,LOC609268,LOC609310,LOC610105,LOC611292,LOC611374,LOXL2,LPCAT1,LRAT,LRP2,LRRC59,LRRC8C,LRRTM1,LSG1,MAMDC2,MARCHF2,MBOAT7,MESD,METTL9,MGAT4D,MGRN1,MIP,MOSPD2,MPIG6B,MTDH,MTTP,MYDGF,MYOC,NBEAL2,NCK1,NCK2,NCSTN,NDFIP2,NKIRAS1,NOTCH1,NPC1,NPC2,NSG1,P2RY13,P3H2,PACS2,PANX1,PCK1,PCYT1B,PDCL3,PEX3,PGRMC2,PGS1,PHEX,PHTF1,PHTF2,PIEZO1,PIGL,PIGX,PINK1,PKD2L1,PKHD1,PLAAT3,PLCD4,PLOD3,POFUT1,POMGNT2,POU2F1,PPP1R15A,PRCD,PRKCA,PRKCD,PRKCE,PRKN,PRNP,PROC,PROM1,PSEN1,PSENEN,PSMF1,PTGIS,PTPN2,PUM3,PXDN,RAB1A,RAB32,RASGRF2,RCN3,REEP6,RER1,RGMA,RIC3,RNF103,RNF13,RNF19B,RNF5,RNFT1,RPL10L,RPL13,RPL24,RPS23,RPS24,RPS3,RPS3A,RPS8,RTN4R,SAR1A,SCARA3,SDF2,SEC61B,SELENOM,SELENOT,SEMA4F,SERAC1,SERPINA1,SEZ6,SEZ6L2,SGPL1,SHISA5,SIL1,SLC22A13,SLC26A11,SLC27A1,SLC30A9,SLC35A2,SLC35D3,SLC36A1,SLC39A6,SMPD4,SPAST,SPHK2,SRD5A1,SRD5A2,SRP54,SRP72,STAU1,STBD1,STC2,STOM,STUB1,SULF2,SV2A,TAFA1,TAPBPL,TBL2,TECRL,TGM2,THADA,THY1,TLCD3B,TLR9,TMC6,TMC8,TMCC2,TMEM100,TMEM117,TMEM119,TMEM35A,TMEM38B,TMEM50A,TMTC1,TMTC3,TMTC4,TP53,TP63,TP73,TPST2,TRAPPC1,TRAPPC2,TRAPPC3,TRAPPC3L,TRAPPC4,TRAPPC6A,TRAPPC6B,TRIM59,TRPM4,TSN,UBA52,UBQLN1,UBXN4,UBXN8,UFSP2,UNC93B1,USP25,UTP15,UVRAG,VASH1,VCAM1,VWF,WLS,XBP1,YIPF4,YIPF6,YTHDC2,ZDHHC13,ZP2"
